net,local_idx,best_k,gcd_k_n,phase_mae_deg,radius_cv,mean_radius,phi,mean_abs_deg,max_abs_deg,gauge_deg,rho_even,rho_odd,q_odd_over_even,radius_parity_separation
172,53,11,1,0.14618800381402708,0.08393620687866893,4.478126566986705,-1.5286417747667225,0.22826162488951718,1.0127493019257106,87.58472177577458,4.674013967731402,4.2822391662420065,0.9161802244935205,0.0874863172420376
175,54,1,1,0.10424951776982358,0.04950225887531782,4.377736851728542,0.030925037128352224,0.15057532624578046,0.5322421521375079,-1.7718742088798953,4.329235041684274,4.4262386617728104,1.0224066420867732,0.022158394479612063
176,55,11,1,0.1186889219317821,0.058718504072633584,4.30590753781049,-1.23180139280638,0.18009236396893022,0.6846579208128186,70.57702105971873,4.288122869503323,4.323692206117657,1.008294850146972,0.008260589969012693
177,56,7,1,0.4651762729957747,0.16248018589174,4.49825394557126,-2.4327713593196005,0.5276611896611924,2.0199684648415293,139.3875331986158,4.5116237531603,4.48488413798222,0.9940731726223073,0.005944443222109682
182,57,7,1,0.09791384962159473,0.022320463409048703,4.392251003039921,-0.5148599639875087,0.16791820901440896,0.48013039975817456,29.499303079498866,4.395558772472694,4.388943233607147,0.9984949492867717,0.001506184154996654
183,58,1,1,0.07541448451624293,0.042530966034363044,4.378116276379923,2.1152595528985634,0.1313866166439669,0.3932630056388972,-121.19544501352705,4.422851473197199,4.333381079562648,0.9797708799002751,0.020435819422441274
187,59,7,1,0.1016718337800418,0.04190878050344427,4.486421513804969,-2.9083090571723,0.1765735734536014,0.6479022838754054,166.6338344606417,4.425310161524681,4.547532866085258,1.027619014283615,0.027242804579215466
190,60,1,1,0.12183210994840647,0.05248194349205985,4.470233891338725,3.055196496683956,0.1740847085530658,0.6096531160536208,-175.0498647619899,4.4656172147571445,4.474850567920304,1.0020676544179932,0.0020655190282211494
192,61,7,1,0.17069241458127413,0.03615050761351938,4.219868968952422,-0.8541886410660039,0.2657255490942026,0.8145937647477073,48.94140410025246,4.191044922031721,4.248693015873123,1.0137550646470892,0.01366110992202508
193,62,1,1,0.17377246180534192,0.031274316786791274,4.347920582211503,1.3838914054471336,0.2522640154665665,0.721221190786628,-79.29113633603785,4.36229318102454,4.333547983398466,0.9934105305550962,0.006611251765655004
200,63,5,1,0.4404446353802134,0.13822447005071933,4.5290285809498165,2.5792643278583607,0.6225646746404399,1.7754163076439176,-147.7809693799235,4.489844249309252,4.568212912590382,1.017454650747225,0.017303636283234607
204,64,7,1,0.2905321397700984,0.09175410278657914,4.408244208773369,1.5123473020546676,0.34454122515846586,1.4454215133926533,-86.65111706109798,4.418522077939877,4.397966339606863,0.99534782491285,0.00466302168380412
