net,best_k,gcd_k_n,phase_mae_deg,radius_cv,mean_radius,phi,mean_abs_deg,max_abs_deg,gauge_deg
166,1,1,0.17737370985964046,0.03174814507098262,3.8352908032473265,-2.302564810277671,0.28982258194410443,0.6866173439587097,131.9272462082434
167,3,1,0.1537224551728409,0.06172719631417398,3.855968572435806,1.0624997459743757,0.2873393590228192,0.8240138465807991,-60.87675055916979
168,1,1,0.13224916231511,0.03282508872761316,4.02807161940544,1.5989299476723136,0.16711856552703208,0.6210011120449375,-91.61193765457445
169,9,1,0.18768748128567422,0.07025520375202343,3.9152473511482966,1.9518005190919352,0.3309957165655001,0.9855248352310512,-111.82993369135234
170,4,2,9.250133510068835,0.580106603384549,5.9388621241442605,0.30550884011117285,13.751448194270107,28.153787677624962,-17.75187277291378
171,1,1,0.19782473415983345,0.076204576097858,4.009055425614143,-1.3250694246122425,0.30677925188317795,0.8124933841269225,75.92088393469393
172,3,1,0.12074172407845574,0.053686163601811526,4.078036731962554,-1.9671599443695669,0.19929993320841868,0.7250240134145226,112.70996264385779
173,7,1,0.2570654728190874,0.07724964757677125,3.9644670959378843,1.2244050053772104,0.4306731684926739,1.3483115062958777,-70.15323534754022
174,9,1,0.11260886083364877,0.03019693088820882,3.949033004198074,-0.2219798973665348,0.18186908464702303,0.7029097300091774,12.71851137208523
175,7,1,0.13803640232643002,0.07002816835877161,3.9357049848086874,-1.5975600063541497,0.22347772747086284,0.7822829698385803,91.53344577860882
176,1,1,0.18794311160525415,0.08756215518338062,4.206928040999617,-0.7606158010944557,0.2880930052165471,0.9470600273551762,43.58007517123173
177,7,1,0.14073200255840373,0.031184417763489215,3.894365514490418,0.29537706605654174,0.23249145642243813,0.736322809476624,-16.923859312094688
178,8,2,10.035981185342415,0.5834462248566509,6.342910062786498,2.8896622666126666,14.89518234492498,30.521128398410138,-165.8830303532598
179,3,1,0.3820786055150373,0.09324445226605031,4.0557809992801355,1.3956421298555624,0.6232489371470517,1.603393938814067,-79.96438903867602
180,1,1,0.16586946031532793,0.059199355886658346,3.8926235624785677,2.988882681164051,0.2509542878643739,0.8003070118888562,-171.25036282037516
181,7,1,0.28078359200824127,0.09670155203970784,3.8443909508762686,-1.1256831082096603,0.4553877918871455,1.5362296977154368,64.49688582043768
182,3,1,0.24488144393717756,0.061202359144113865,4.03571990976622,2.6786566055962866,0.4309475608686962,0.882610058253524,-153.47571561055412
183,6,2,8.906432946060946,0.5919144139785883,5.779805085734035,-2.8148226407236994,13.249395741485786,27.09746088778873,161.05695276450496
184,7,1,0.2398690918097768,0.10969873226709338,3.8397098814840214,-2.3788467369126822,0.3983643921297646,1.3197402709195554,136.29787527352292
185,7,1,0.15112781951429072,0.040056908032800764,3.823372482002214,1.2619835473364107,0.24073944999440278,0.6777829398498161,-72.30633020917176
186,3,1,0.1908493994883905,0.027619881938950132,3.956007383254449,1.6166655145007838,0.26502607079973006,0.8800718671930523,-92.62811140563436
187,7,1,0.1604323439691398,0.0383515015238405,3.785917065237458,2.3546327452785545,0.2729118865629613,0.7440839528863122,-134.91051879039048
188,1,1,0.18086164496164936,0.05883889030915236,4.082207379832856,-2.1158773706791463,0.27833980582970086,0.7159319135690393,121.23084408948175
189,9,1,0.11041905832257409,0.04084191647708562,3.9157964192890615,-0.6762425532031711,0.1899812833157167,0.5933966916696616,38.74584419377318
190,3,1,0.23935151807586397,0.07783460864352336,4.163670773190131,3.0360363494306783,0.3731275503442253,1.1500111508327142,-173.95206677568805
191,8,2,9.137442493000892,0.5745327096988738,5.886513314016428,0.8750343614772003,13.586955490133807,27.771092330905947,-49.89735851963894
192,8,2,9.009263157840762,0.5603311288767786,5.845016916226518,-1.0223761098337694,13.399715571665439,27.438904278382125,58.34947591576979
193,1,1,0.2318691471412438,0.048180336503556596,3.863683005615414,-2.2014131414253204,0.42313332448365804,0.9605875096576004,126.1316854154675
194,6,2,9.383034479451627,0.5463108743787068,5.912786687726236,-3.1245571335501556,13.94529259851403,28.517006910142324,178.76541168375175
195,3,1,0.5775883745488575,0.11432587235062598,4.112255264995286,0.3531631258907736,0.888193845337201,2.3032606566090856,-20.234805532195324
196,3,1,0.17494053663731846,0.06455114103187147,3.920388402413667,-1.942372383256285,0.3008972108332996,0.7978665700416028,111.28974089033576
197,2,2,9.173502872151802,0.5461969731474436,5.9921198218059875,-0.7777890180675728,13.639605821115946,27.855753828385986,44.805328342759125
198,6,2,8.892714051403962,0.5677514915901365,5.953640051136855,2.4565572024828546,13.229336633498452,27.111575488294545,-140.53088907626548
199,3,1,0.2141971854291503,0.10815574103649349,4.094538889320904,-0.8704871606332497,0.40413886321535847,1.0218469913881845,49.87523764431261
200,9,1,0.10587911996792712,0.04732899701044702,3.9667861186314304,-1.423477033377631,0.17021025516709534,0.6542331013652626,81.55922617167768
201,1,1,0.11429094428010418,0.06783245876229008,3.8912097773809213,2.6192522002316014,0.18733139167682836,0.6622708188364016,-150.0720962981627
202,3,1,0.09962893614655961,0.03254811583763753,3.9470291728703844,-0.12319873370941518,0.16779547520231106,0.5588762783263905,7.058767614998489
203,7,1,0.25015335345629064,0.06862807321614384,3.923557451388741,1.7668845140987115,0.3661659517970907,1.1435664567265547,-101.23502511574728
204,1,1,0.16574052687720173,0.04326968661257731,3.8562679528780324,1.1502092637931158,0.26051586641609015,0.745302191089929,-65.9021353177896
205,3,1,0.19808648017620184,0.05349029800771916,3.833059835873678,-1.0226849796132806,0.36091359963236774,0.9618798427519212,58.595531601363575
