net,local_idx,best_k,gcd_k_n,phase_mae_deg,radius_cv,mean_radius,phi,mean_abs_deg,max_abs_deg,gauge_deg,rho_even,rho_odd,q_odd_over_even,radius_parity_separation,domain_exact,f_decoder_exact,q_certified,q_break_at,composition_exact,substitution_exact,family
74,34,9,1,0.14258704369374167,0.05234531461841359,4.029259429051453,-1.8650703010701306,0.22214481506802228,0.7153728247889858,106.86065702716554,4.035986570758287,4.022532287344619,0.9966664201731622,0.0033391454808446718,True,True,False,gcd_k_not_2,False,True,FAMILY_F
75,35,3,1,0.17535302076492443,0.024548960812451167,3.8875541566048484,1.6007983281694733,0.23366288351214587,0.7823532637210282,-91.71898835451574,3.817732426048971,3.957375887160727,1.0365775925413072,0.03592064714378458,True,True,False,gcd_k_not_2,False,True,FAMILY_F
76,36,9,1,0.16025711076355192,0.07956934897529098,4.069000629638717,1.4442248567025695,0.2751744921102206,0.9304773576698837,-82.74798844754245,4.088647927417568,4.049353331859865,0.9903893423314336,0.009657063032008542,True,True,False,gcd_k_not_2,False,True,FAMILY_F
77,37,7,1,0.18327127713085417,0.05394861894252239,3.984377981153991,2.821439005703004,0.2807489371131558,0.8791705002012767,-161.65654683987105,4.059548400686806,3.9092075616211757,0.9629661173542862,0.037732574513948895,True,True,False,gcd_k_not_2,False,True,FAMILY_F
82,38,6,2,8.818030263051,0.6077728670113771,5.984468917554489,-1.4926221925428889,13.120095356647246,26.710109439744627,85.30705166168033,9.434737359974566,2.5342004751344103,0.2686031818845715,1.153074229293518,True,False,True,,False,False,FAMILY_Q
84,39,9,1,0.12390649413430209,0.03269950347602233,4.089900656412338,0.2965646016414989,0.1875768744911523,0.6648638593500894,-16.99190026240463,4.018475226005754,4.161326086818923,1.0355485234520552,0.03492770920711733,True,True,False,gcd_k_not_2,False,True,FAMILY_F
86,40,2,2,9.011394524822517,0.5995859549900886,5.9309092992389,-0.3532995290460818,13.402832500882967,27.400946791975347,20.01404687311421,9.30131808681762,2.560500511660181,0.275283619779553,1.1365571845825517,True,False,True,,False,False,FAMILY_Q
87,41,7,1,0.12171464132526898,0.03740377793994108,3.9917396532761202,2.3332817023800176,0.22816933270291972,0.5713042545581174,-133.68719402394132,4.005316775248632,3.9781625313036066,0.9932204503491887,0.006802608963422566,True,True,False,gcd_k_not_2,False,True,FAMILY_F
88,42,3,1,0.3013036920847407,0.10962526912105608,4.080252305641813,-0.33500770300982957,0.45520651306434184,1.2436941634309768,19.194529966542213,4.035600323804114,4.124904287479511,1.0221290406655572,0.02188687291516649,True,True,False,gcd_k_not_2,False,True,FAMILY_F
90,43,1,1,0.20795056566876746,0.07843264814615197,3.964959921401474,-1.2743039240631213,0.3326364924534896,1.002861329115024,73.01223666106671,3.8014989091615283,4.1284209336414195,1.0859981897382678,0.08245279421748498,True,True,False,gcd_k_not_2,False,True,FAMILY_F
91,44,3,1,0.11223636715701879,0.06048030023150188,3.953261477371899,-1.2756250037598675,0.21709060517103723,0.6738250579624987,73.08792848241664,4.058243349804758,3.848279604939041,0.9482624064730327,0.0531115247669626,True,True,False,gcd_k_not_2,False,True,FAMILY_F
93,45,9,1,0.20006138561238138,0.08425570973953994,3.9759747717306624,0.6571492973967277,0.3870542836208541,1.6885374158138244,-37.65188213443772,3.98813270019433,3.963816843266995,0.9939029468788363,0.006115696985861595,True,True,False,gcd_k_not_2,False,True,FAMILY_F
94,46,9,1,0.1553227971135751,0.06704502508097053,3.88311210249309,2.951151898640086,0.22601256242935905,0.8402655240911168,-169.0885482976805,3.7993186319766843,3.966905573009496,1.0441097357884987,0.04315789413476247,True,True,False,gcd_k_not_2,False,True,FAMILY_F
95,47,7,1,0.1699033859957134,0.06664262558840846,3.957310722666832,-2.7563675156081024,0.2630777039933144,0.8179138864334056,157.92822476755495,3.953270306115827,3.961351139217836,1.002044088179224,0.0020420011640033984,True,True,False,gcd_k_not_2,False,True,FAMILY_F
103,48,1,1,0.14628080401495117,0.03096128034833294,3.996993723868978,1.4732699900477992,0.22476059382243654,0.8554835474800975,-84.41215237903373,3.9783985927022885,4.015588855035669,1.0093480483332162,0.009304558601453468,True,True,False,gcd_k_not_2,False,True,FAMILY_F
104,49,3,1,0.14517198504201803,0.07026990087681004,3.843907130273604,-0.1352912470808663,0.22297211125218194,0.7439249604152252,7.751617490005259,3.7253624787851978,3.9624517817620104,1.0636419420464354,0.061679248468195155,True,True,False,gcd_k_not_2,False,True,FAMILY_F
