net,local_idx,best_k,gcd_k_n,phase_mae_deg,radius_cv,mean_radius,phi,mean_abs_deg,max_abs_deg,gauge_deg
172,97,1,1,0.03736463717884411,0.058452411056407264,6.29816454147362,0.6977800162884679,0.06717126845199047,0.15825721742799778,-39.979849970869786
174,98,7,1,0.055470199612831866,0.053139371495970096,6.279250134627248,0.2233938876022887,0.09185925447734614,0.3311371068026081,-12.79952697580749
175,99,3,1,0.062230872764489506,0.05953128656911759,6.135459642287472,2.7381068834955333,0.09992593094921301,0.35795019804676764,-156.88196822740264
176,100,9,1,0.033168228265178075,0.05629939959593064,6.339401825328937,0.5779256057166539,0.05773105111468101,0.25468762687886076,-33.11269808092536
179,101,9,1,0.056955314026123346,0.06475444132815192,6.370027004004466,1.5103460992792201,0.09265222319472388,0.2638488355433896,-86.53645707929071
180,102,19,1,0.06815258933603728,0.0743403393530901,6.191576448589447,1.1170698465978592,0.11984268513209378,0.3426060095069867,-64.0033875565414
183,103,15,1,0.03853811735329109,0.06748246607116959,6.364426946041035,0.20717606540296957,0.06619184342473367,0.23566211506828083,-11.870314169332397
185,104,7,1,0.042326162093394175,0.09284144426421662,6.377136935789284,-0.20160983879144426,0.07678883852318892,0.34483527888345655,11.551392880240892
187,105,15,1,0.04750188298237629,0.05308092949621016,6.278983940619099,-0.6308339333056937,0.07972939361214713,0.19568107892862205,36.14412195767442
188,106,6,2,3.7650783493611946,0.5289141537438045,9.028724950425769,2.0216520045881325,5.639453497257981,11.40301121786259,-115.84845630218261
189,107,15,1,0.054335960622476864,0.05383641803524214,6.176287620167249,-1.2748417065225721,0.08567256553235368,0.2741592548000022,73.04304929169118
190,108,17,1,0.06961118562339341,0.05797972202237326,6.3212362059251,1.5704233400504115,0.10703520060830612,0.3649113771661095,-89.97862945949885
191,109,19,1,0.03849518763417866,0.05329872758221272,6.198719961484307,-0.48791795470367894,0.06711593311554476,0.20954252078003996,27.9556395666566
192,110,6,2,3.767662892415231,0.5301690082206288,9.324002294104094,-2.549853156017187,5.643313455352096,11.389805519745455,146.07946167521303
193,111,21,1,0.06175406626281461,0.07237832091574545,6.344821826615128,1.473849514661164,0.0934598712238167,0.35325793192676447,-84.44535683190922
195,112,15,1,0.051742496834320084,0.07731492113304726,6.475570509665824,-0.7960260814174961,0.08418476351507873,0.2639213629449055,45.60893484781225
197,113,7,1,0.04934207478051214,0.04707001085581957,6.240355019997392,-2.9407690087552725,0.07464866262130891,0.23509256188678263,168.49365270607373
201,114,21,1,0.06811543333091911,0.05290413685770466,6.263876465172996,0.8398325024757541,0.1089134732098107,0.3220962843862736,-48.11885788911091
