net,domain_exact,best_k,gcd_k_n,phase_mae_deg,mean_abs_deg,q_odd_over_even,radius_parity_separation,f_decoder_acc,f_decoder_exact,q_decoder_acc,q_decoder_exact,q_certified,q_break_at,composition_acc,composition_exact,substitution_acc,substitution_exact,family
346,True,1,1,0.16586946031532793,0.2509542878643739,1.0028013030143161,0.002797384853005762,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
347,True,7,1,0.28078359200824127,0.4553877918871455,0.9907679452316992,0.009274867812105859,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
349,True,3,1,0.24488144393717756,0.4309475608686962,0.9856764120069419,0.014426910554455425,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
350,True,6,2,8.906432946060946,13.249395741485786,3.5591904728521517,1.1226512636797847,0.51,False,1.0,True,True,,0.0,False,0.5,False,FAMILY_Q
351,True,7,1,0.2398690918097768,0.3983643921297646,1.0075682241991821,0.007539693155086746,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
355,True,7,1,0.15112781951429072,0.24073944999440278,1.026115685412291,0.025779066417894982,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
356,True,3,1,0.1908493994883905,0.26502607079973006,0.9715064758999278,0.028905331479640056,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
357,True,7,1,0.1604323439691398,0.2729118865629613,1.0216518098894052,0.02141991987293753,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
360,True,1,1,0.18086164496164936,0.27833980582970086,0.9879753141429793,0.012097419692763697,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
365,True,9,1,0.11041905832257409,0.1899812833157167,0.9763273618035179,0.02395619132133997,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
366,True,3,1,0.23935151807586397,0.3731275503442253,0.9536463505771567,0.04745347018322863,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
367,True,8,2,9.137442493000892,13.586955490133807,0.29453880458108467,1.0899035130077912,0.53,False,1.0,True,True,,0.0,False,0.5,False,FAMILY_Q
368,True,8,2,9.009263157840762,13.399715571665439,0.3059921120075549,1.0628056350595025,0.45,False,1.0,True,True,,0.0,False,0.5,False,FAMILY_Q
370,True,1,1,0.2318691471412438,0.42313332448365804,1.0159932106161678,0.01586633380702669,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
